"행정구역","2012년_계_총인구수","2012년_계_연령구간인구수","2012년_계_0~9세","2012년_계_10~19세","2012년_계_20~29세","2012년_계_30~39세","2012년_계_40~49세","2012년_계_50~59세","2012년_계_60~69세","2012년_계_70~79세","2012년_계_80~89세","2012년_계_90~99세","2012년_계_100세 이상","2012년_남_총인구수","2012년_남_연령구간인구수","2012년_남_0~9세","2012년_남_10~19세","2012년_남_20~29세","2012년_남_30~39세","2012년_남_40~49세","2012년_남_50~59세","2012년_남_60~69세","2012년_남_70~79세","2012년_남_80~89세","2012년_남_90~99세","2012년_남_100세 이상","2012년_여_총인구수","2012년_여_연령구간인구수","2012년_여_0~9세","2012년_여_10~19세","2012년_여_20~29세","2012년_여_30~39세","2012년_여_40~49세","2012년_여_50~59세","2012년_여_60~69세","2012년_여_70~79세","2012년_여_80~89세","2012년_여_90~99세","2012년_여_100세 이상"
"제주특별자치도  (5000000000)","583,713","583,713","60,411","82,614","67,058","85,584","103,309","82,532","49,442","37,022","12,871","2,684","186","292,213","292,213","31,305","43,356","35,305","43,953","53,881","42,003","23,952","15,085","3,018","334","21","291,500","291,500","29,106","39,258","31,753","41,631","49,428","40,529","25,490","21,937","9,853","2,350","165"
"제주특별자치도 제주시 (5011000000)","429,656","429,656","46,700","62,857","50,494","65,483","77,115","59,028","33,510","23,917","8,602","1,822","128","214,588","214,588","24,178","33,151","26,564","33,061","39,517","29,844","16,248","9,768","2,013","229","15","215,068","215,068","22,522","29,706","23,930","32,422","37,598","29,184","17,262","14,149","6,589","1,593","113"
"제주특별자치도 서귀포시 (5013000000)","154,057","154,057","13,711","19,757","16,564","20,101","26,194","23,504","15,932","13,105","4,269","862","58","77,625","77,625","7,127","10,205","8,741","10,892","14,364","12,159","7,704","5,317","1,005","105","6","76,432","76,432","6,584","9,552","7,823","9,209","11,830","11,345","8,228","7,788","3,264","757","52"
