"행정구역","2008년_계_총인구수","2008년_계_연령구간인구수","2008년_계_0~9세","2008년_계_10~19세","2008년_계_20~29세","2008년_계_30~39세","2008년_계_40~49세","2008년_계_50~59세","2008년_계_60~69세","2008년_계_70~79세","2008년_계_80~89세","2008년_계_90~99세","2008년_계_100세 이상","2008년_남_총인구수","2008년_남_연령구간인구수","2008년_남_0~9세","2008년_남_10~19세","2008년_남_20~29세","2008년_남_30~39세","2008년_남_40~49세","2008년_남_50~59세","2008년_남_60~69세","2008년_남_70~79세","2008년_남_80~89세","2008년_남_90~99세","2008년_남_100세 이상","2008년_여_총인구수","2008년_여_연령구간인구수","2008년_여_0~9세","2008년_여_10~19세","2008년_여_20~29세","2008년_여_30~39세","2008년_여_40~49세","2008년_여_50~59세","2008년_여_60~69세","2008년_여_70~79세","2008년_여_80~89세","2008년_여_90~99세","2008년_여_100세 이상"
"제주특별자치도  (5000000000)","560,618","560,618","66,572","81,957","73,354","91,726","94,759","63,501","46,947","30,185","9,628","1,925","64","280,088","280,088","34,865","43,119","37,953","47,115","49,375","32,080","22,342","11,038","1,968","231","2","280,530","280,530","31,707","38,838","35,401","44,611","45,384","31,421","24,605","19,147","7,660","1,694","62"
"제주특별자치도 제주시 (5011000000)","407,498","407,498","50,280","61,552","54,106","68,882","69,522","44,716","31,059","19,561","6,483","1,290","47","203,107","203,107","26,409","32,521","27,844","34,602","35,738","22,529","14,822","7,197","1,302","141","2","204,391","204,391","23,871","29,031","26,262","34,280","33,784","22,187","16,237","12,364","5,181","1,149","45"
"제주특별자치도 서귀포시 (5013000000)","153,120","153,120","16,292","20,405","19,248","22,844","25,237","18,785","15,888","10,624","3,145","635","17","76,981","76,981","8,456","10,598","10,109","12,513","13,637","9,551","7,520","3,841","666","90","0","76,139","76,139","7,836","9,807","9,139","10,331","11,600","9,234","8,368","6,783","2,479","545","17"
